f1	f2	vowel
381.1	1445.0	u
590.1	1223.6	V
253.9	1935.6	u
631.7	1361.9	&
445.4	1697.2	I
369.2	2337.0	i
369.3	1969.9	i
537.3	1853.3	I
588.8	1125.6	O
314.4	2231.9	i
353.4	2208.0	i
593.1	1468.8	V
388.2	2112.9	i
567.2	1721.7	E
635.9	1270.4	V
487.4	1707.6	I
424.4	1606.5	u
615.7	1581.4	u
461.9	1142.9	u
509.9	1784.0	u
611.7	1727.5	I
242.1	1001.1	u
623.1	1715.4	E
381.3	1332.9	O
563.5	1566.3	O
554.3	1725.5	E
678.8	1516.6	&
364.0	1464.2	u
562.8	1153.7	V
472.6	1024.8	O
231.4	2190.7	i
568.2	1551.3	&
496.7	920.3	O
444.0	996.2	u
607.8	1626.6	E
612.3	1797.5	E
366.1	1869.2	I
564.2	1674.4	E
567.0	939.8	O
497.8	1745.0	E
507.5	1229.5	O
727.4	1580.1	&
351.5	1965.7	I
308.5	2061.6	i
595.4	1656.9	E
554.4	1878.1	O
594.8	1939.9	I
460.3	1115.2	O
629.6	1297.2	E
334.1	2305.4	i
406.1	1964.6	I
320.4	1564.2	i
581.0	1621.9	E
358.0	1870.0	I
334.5	2092.0	I
318.4	1909.6	i
642.0	1682.0	O
463.0	1054.6	O
530.4	1147.6	O
627.8	1663.4	&
314.4	1751.1	u
255.1	1839.7	I
550.2	1351.1	V
399.8	1680.7	I
653.1	1469.5	&
654.8	1391.1	V
388.5	2159.6	I
745.8	1452.1	&
523.0	1680.8	E
359.1	2179.5	i
537.9	1051.5	O
607.8	1051.2	O
467.4	1592.0	E
643.3	1812.6	E
334.8	2103.4	i
355.9	1488.0	I
454.2	1493.6	E
591.5	991.6	O
587.5	2059.0	I
623.4	1302.6	V
521.8	1618.7	I
274.1	1668.8	i
406.9	2030.0	I
427.9	2125.4	I
392.4	2083.8	I
643.2	1601.8	&
729.2	1451.1	&
653.3	1223.6	V
586.0	1660.0	V
807.2	1484.8	&
531.9	1736.0	&
479.4	1567.2	V
355.3	1720.3	u
608.9	1615.6	V
619.0	1973.8	E
586.0	1660.0	V
609.2	996.8	O
589.1	1240.4	O
761.0	1516.2	&
624.1	1613.7	O
654.9	1495.4	&
668.4	1741.1	&
456.6	1578.3	I
645.9	1642.4	&
351.1	1606.1	u
704.3	1529.0	&
686.2	1566.2	&
678.6	1545.2	&
634.0	1806.2	I
381.7	2091.7	I
464.7	2072.2	i
404.0	2061.2	E
265.6	1745.7	i
356.3	2045.5	I
603.1	992.2	O
330.1	1676.3	i
683.7	1524.6	&
323.4	2073.8	i
664.0	1177.3	V
462.7	1831.6	I
409.3	1284.2	O
358.4	1901.1	I
537.7	2272.6	I
453.1	1165.9	O
419.1	1925.2	I
483.4	887.0	O
340.1	2117.1	i
331.4	2091.5	i
686.2	1566.2	&
645.9	1519.4	&
669.2	1667.4	&
614.1	1509.5	I
651.0	1360.2	V
608.8	1372.5	V
364.6	2097.1	I
590.9	1467.4	V
557.4	1526.0	V
787.4	1576.3	I
449.7	2099.9	i
530.0	1318.0	E
274.4	2222.8	i
706.4	1626.0	&
683.1	1672.0	&
414.0	1456.8	u
572.2	1398.1	V
643.7	1177.7	&
329.9	1532.0	I
501.8	1559.7	I
332.2	2008.9	i
735.2	1314.8	V
612.5	1629.0	&
797.9	1838.6	E
551.8	1363.7	V
587.0	1183.9	V
370.5	888.9	O
364.6	2097.1	I
759.5	1521.3	&
420.9	1166.6	u
609.2	1364.0	V
200.0	2095.1	u
559.3	1780.4	E
