f1	f2
584.7	1569.0
469.7	1940.9
762.9	1494.1
522.0	1029.4
448.8	2212.0
677.0	1600.6
273.8	2198.5
764.2	1716.0
340.9	2263.3
661.1	1703.3
461.2	1527.6
403.8	1181.4
420.9	1166.6
608.9	1615.6
528.1	1426.5
305.1	1632.1
340.7	2014.0
569.0	1080.2
342.4	2169.6
351.5	1965.7
444.5	1751.2
434.8	1059.8
522.2	1594.2
456.6	1578.3
490.1	1587.7
812.9	1466.3
618.7	1500.4
643.7	1177.7
408.0	1474.3
347.7	2204.6
395.7	1309.5
396.0	1615.8
767.7	1494.9
384.0	2166.5
396.0	1686.4
339.9	1865.3
688.0	1672.1
444.8	1391.5
324.5	2243.6
695.8	1597.4
280.1	2270.0
610.4	1481.9
369.8	1617.4
625.2	1453.3
470.0	1695.2
547.3	1779.0
452.1	1240.1
406.1	1713.5
510.9	1684.4
658.2	1209.8
613.0	1248.4
349.7	2089.7
638.8	1106.6
354.1	1745.2
415.9	1170.8
286.7	2354.1
353.5	1872.6
239.8	2008.7
627.0	1737.8
310.2	1755.6
560.2	1626.8
707.9	1616.6
695.0	1026.1
344.6	2358.8
359.1	2294.4
404.0	2061.2
787.6	1219.5
433.2	930.3
406.1	1964.6
618.2	1152.4
681.5	1621.5
364.8	2154.6
497.9	1093.1
559.3	903.2
560.6	1390.5
415.2	2101.9
563.3	2182.1
559.1	1593.3
612.3	1797.5
585.5	1013.7
617.0	1916.7
461.2	1190.2
285.0	2199.5
607.9	1818.7
762.0	1282.5
373.1	1710.7
608.7	1619.6
936.9	1643.4
589.7	995.6
694.4	1664.6
535.1	1920.9
521.5	1508.8
520.4	1996.4
657.4	1539.3
589.1	1240.4
662.2	1615.1
735.1	1472.7
286.0	2206.0
617.0	1916.7
385.1	1727.5
715.2	1494.0
464.3	1160.3
338.8	2254.0
295.1	2297.9
430.3	1657.2
561.3	1261.3
613.2	2041.5
325.7	2178.1
407.1	2233.7
643.2	1601.8
578.6	1595.2
352.8	2153.9
404.4	1896.8
567.9	1857.4
533.6	1000.5
332.3	1142.0
589.6	1056.3
538.6	1780.2
381.7	2091.7
644.0	1012.9
496.9	1451.1
453.6	1289.8
411.8	1981.4
366.1	1623.2
496.2	1901.5
395.7	1060.7
705.9	1907.9
604.0	1321.0
556.6	1694.1
434.5	2357.7
426.7	1910.7
583.5	1508.8
614.0	2009.3
612.6	2106.1
495.3	1011.5
650.1	1661.6
694.8	1631.0
429.7	2215.4
582.2	1019.9
648.0	1481.4
623.0	1012.1
508.8	1222.8
483.4	887.0
400.4	1666.9
862.7	1481.5
706.2	1869.2
444.3	1360.1
364.6	1811.0
757.5	1536.4
695.8	1597.4
339.1	1623.8
305.9	1898.6
597.6	1430.0
417.8	1343.4
322.9	1947.9
351.1	1603.6
691.1	1587.8
650.8	1252.5
653.7	1733.6
278.1	1747.9
466.7	1944.9
499.0	963.6
703.5	1552.4
610.4	1481.9
384.7	2012.0
287.9	2246.1
521.2	903.7
552.4	1613.4
408.7	1184.0
447.2	2039.8
740.7	1677.0
560.2	1626.8
719.3	1434.0
737.4	1329.5
537.9	1756.2
587.5	2059.0
713.6	1393.8
425.3	1656.1
374.9	1652.2
442.1	816.3
653.7	2086.3
587.9	1482.0
706.8	1525.5
596.8	1600.3
678.8	1516.6
479.3	2046.5
577.2	1613.6
582.9	1383.6
413.2	1977.8
350.4	2270.4
698.0	1381.0
574.6	1315.5
491.6	1743.2
760.2	1577.1
561.1	1494.9
626.4	1550.3
333.1	1473.1
505.1	1701.6
607.2	1244.8
566.3	1129.1
373.6	2055.8
675.5	1596.4
637.6	1247.8
588.8	1125.6
334.1	2272.7
374.9	1392.9
505.0	1538.2
643.0	1659.4
560.1	1445.4
640.0	1677.2
512.8	844.3
345.2	2171.5
790.5	1612.5
561.7	1853.4
358.6	1684.0
625.2	1662.0
726.4	1573.6
539.7	1097.3
662.4	1502.7
394.9	1093.1
521.1	1329.1
319.8	1573.0
633.5	1611.5
636.2	1754.0
338.1	1401.4
551.0	2087.4
475.7	1651.7
835.5	1504.0
515.6	1259.7
590.7	1544.3
840.8	1537.3
303.6	1863.8
548.7	1858.6
371.9	2188.9
484.4	1918.0
549.8	2100.0
707.6	1563.7
526.0	1411.9
581.6	1175.1
451.0	1229.3
330.0	1962.3
596.1	1507.9
605.8	1179.3
385.3	1575.0
632.1	1262.3
358.3	1866.6
679.8	1414.5
603.1	992.2
540.9	1909.4
392.1	1764.8
329.5	1518.3
645.0	1431.5
336.3	2372.9
310.6	2251.5
684.8	1498.2
417.7	2100.3
552.4	1613.4
697.4	1292.4
512.9	1499.0
652.7	1419.5
560.7	897.1
496.6	2010.3
666.8	1285.7
562.8	1153.7
553.1	1813.2
378.5	966.1
604.4	1523.6
752.6	1359.5
621.3	1239.7
423.7	1261.7
200.0	2265.1
763.7	1657.4
407.3	1860.3
440.5	1485.3
430.9	1818.5
629.5	1550.1
537.6	1873.7
282.0	2262.7
261.6	2178.9
354.3	1936.1
320.3	1993.4
339.2	1885.9
354.5	1944.3
546.9	1087.3
520.4	1996.4
362.3	2152.2
454.4	1139.0
273.2	2154.9
671.3	1572.6
373.6	2055.8
359.0	2187.2
619.0	1738.7
554.8	1481.0
429.5	1883.3
605.1	923.2
469.6	2179.0
385.4	1443.8
326.6	2248.9
392.1	1828.1
596.5	1213.7
400.2	806.1
371.5	1996.7
709.4	1292.3
540.4	1711.9
682.1	1955.0
417.7	2100.3
589.1	1563.1
319.5	2430.2
695.0	1026.1
362.5	2213.1
407.3	1860.3
342.4	2169.6
323.7	2099.7
623.4	2447.1
518.2	2059.2
556.7	869.4
642.3	1558.2
313.4	1833.1
333.4	1902.6
326.4	1995.7
468.8	1315.7
883.6	1720.0
629.5	1550.1
646.7	1369.7
500.7	1564.4
326.2	2340.4
505.2	1746.3
640.7	1762.7
415.7	1135.2
649.2	1549.0
582.2	1019.9
284.5	2178.0
479.4	1567.2
335.7	2147.6
539.7	1097.3
636.4	1575.3
851.1	1658.9
591.9	1182.5
550.7	1494.5
369.3	1969.9
558.5	1205.0
411.2	1415.4
604.3	1056.9
356.9	1968.8
568.6	994.0
370.0	2157.2
822.8	1808.5
625.0	1848.7
682.1	1955.0
577.0	1179.8
405.9	1626.5
497.3	1651.5
512.6	1409.2
358.0	1870.0
522.9	1576.1
360.7	1870.6
640.1	1381.4
349.7	2089.7
560.9	1326.1
912.2	1525.0
304.5	1989.7
594.6	1025.6
353.5	2230.9
611.1	1331.6
354.3	1936.1
449.3	2134.3
600.3	1428.9
449.6	1326.4
286.0	2206.0
582.0	1755.9
551.0	2087.4
263.6	2187.2
323.4	1588.8
612.3	1508.2
648.2	1197.6
617.9	1660.5
319.0	1796.1
343.8	2117.7
310.3	1901.3
534.9	1347.8
530.3	2057.5
628.0	1387.1
340.6	2119.7
499.6	1674.7
667.9	1254.1
654.9	1495.4
364.6	1811.0
573.1	867.0
572.6	1329.5
373.1	1710.7
445.6	1758.8
389.6	909.1
640.1	1381.4
570.6	1471.4
639.8	1855.8
869.2	1993.5
603.8	1685.0
442.1	816.3
560.6	966.7
464.0	2021.1
565.6	1762.9
329.9	1532.0
529.2	1774.1
322.9	1947.9
647.5	1542.0
554.7	1871.0
453.6	1289.8
340.6	1124.1
384.2	2181.6
763.6	1530.8
571.3	1264.3
498.8	1031.6
396.0	1615.8
483.5	2247.4
333.6	1810.6
305.5	2168.7
574.7	1510.2
366.8	1775.0
264.6	1967.4
680.8	1468.6
410.7	1203.3
395.8	899.5
540.7	1740.0
344.9	1478.6
574.7	1510.2
319.0	1796.1
449.1	863.7
629.2	1732.4
398.4	2005.4
581.8	1016.5
527.2	1839.0
557.4	1124.9
449.8	1084.2
606.2	1407.9
297.3	2130.0
612.8	1157.8
533.6	1000.5
372.5	1822.2
434.3	1667.9
573.5	1523.3
239.8	2215.2
386.5	2178.3
384.3	1909.1
430.6	2002.7
471.5	994.3
314.8	2119.0
778.8	1848.8
537.9	1051.5
475.6	2079.6
351.3	983.5
673.5	1358.1
435.8	899.6
434.5	1070.6
544.8	2297.6
281.6	1547.3
741.9	1676.8
894.7	1424.2
711.2	1460.4
310.2	1755.6
636.8	1243.8
444.7	1299.5
320.5	2384.8
430.3	1708.5
626.4	1550.3
504.1	1296.4
345.2	1516.7
392.8	1764.3
421.2	2302.4
460.6	1745.3
335.1	1658.5
804.4	1633.4
